"version","subjCode","gender","Days","curTrialIndex","audio","audioType","expTimer","trialStart","trialTime","totalTime","lookAways","looking_time","audioStartTime","audioEndTime","subj_exclusion","subj_exclusion_reason","trial_exclusion"
"version3","Bird_118","f",211,1,"japanese_1_65dB","forward",61827.3091792,25318.1047645,36509.2044147,34269.843437,5,32650.8745203,27537.0130461,34290.2598616,"no","","no"
"version3","Bird_118","f",211,2,"starling_1_70dB","birdsong",98977.3949648,62522.8524344,36454.5425304,34274.4841401,6,30815.9192336,64682.3294673,34295.0268307,"no","","no"
"version3","Bird_118","f",211,3,"backjapanese_1_65dB","backward",136176.442871,99762.9484239,36413.4944474,34264.2059511,2,33983.1925929,101899.180537,34277.2257205,"no","","no"
"version3","Bird_118","f",211,4,"japanese_1_65dB","forward",173423.058498,137034.652659,36388.4058388,34267.3769728,1,33511.5678815,139139.045552,34283.9783849,"no","","no"
"version3","Bird_118","f",211,5,"starling_1_70dB","birdsong",210656.82442,174175.566537,36481.2578831,34257.1046009,3,33390.8658015,176386.139552,34270.6482544,"no","","no"
"version3","Bird_118","f",211,6,"backjapanese_1_65dB","backward",248525.817119,211513.845802,37011.9713167,34255.3272958,8,31550.5238499,214257.092282,34268.6868542,"no","","no"
"version3","Bird_118","f",211,7,"starling_1_70dB","birdsong",285777.127514,249371.155645,36405.9718683,34271.1338139,11,29515.1957191,251488.841029,34288.2488446,"no","","no"
"version3","Bird_118","f",211,8,"backjapanese_1_65dB","backward",305738.992445,286425.909919,19313.082526,16587.5481881,6,13831.0639672,289138.828265,16600.1272241,"no","","no"
"version3","Bird_118","f",211,9,"japanese_1_65dB","forward",337656.532537,306562.982779,31093.549758,27953.9402861,7,24927.8152013,309685.247615,27971.250704,"no","","no"
"version3","Bird_118","f",211,10,"backjapanese_1_65dB","backward",366479.751246,338272.937467,28206.8137785,24958.5399271,6,22963.0878982,341507.034624,24972.6803499,"no","","no"
"version3","Bird_118","f",211,11,"japanese_1_65dB","forward",384706.19682,367349.245244,17356.9515761,13684.4756471,4,11192.557013,371002.890431,13703.2694338,"no","","no"
"version3","Bird_118","f",211,12,"starling_1_70dB","birdsong",415233.811091,385336.321629,29897.4894624,16665.3660243,4,14223.9349686,398553.634647,16680.1425677,"no","","no"
"version3","Bird_101","m",230,1,"backjapanese_1_65dB","backward",48772.8739138,21778.9569027,26993.917011,6440.31505485,4,4283.29920632,42318.8510039,6453.99142901,"yes","pilot","no"
"version3","Bird_101","m",230,2,"starling_1_70dB","birdsong",59472.0306377,49626.4308386,9845.59979907,7121.69228707,2,5796.31106087,52333.678482,7138.31964831,"yes","pilot","no"
"version3","Bird_101","m",230,3,"japanese_1_65dB","forward",80454.6162553,60080.7490525,20373.8672028,6569.67224335,5,4009.40148073,73868.049748,6586.5357109,"yes","pilot","no"
"version3","Bird_101","m",230,4,"backjapanese_1_65dB","backward",103410.110553,81298.9362896,22111.1742629,1023.03200233,1,10.4605373926,102374.073539,1036.00519022,"yes","pilot","yes"
"version3","Bird_101","m",230,5,"japanese_1_65dB","forward",114010.391759,104194.942055,9815.44970386,1036.07602214,1,21.0357061296,112957.95562,1052.41252773,"yes","pilot","yes"
"version3","Bird_101","m",230,6,"starling_1_70dB","birdsong",119881.233721,114843.332152,5037.90156898,1038.64171103,1,23.5148227075,118808.748732,1072.45008575,"yes","pilot","yes"
"version3","Bird_101","m",230,7,"backjapanese_1_65dB","backward",132685.116609,120499.728991,12185.3876182,1039.2395049,1,10.1662599191,131632.795102,1052.28557778,"yes","pilot","yes"
"version3","Bird_101","m",230,8,"starling_1_70dB","birdsong",143755.186127,133296.829468,10458.3566588,8008.99770463,2,6685.32670956,135729.452931,8025.70308361,"yes","pilot","no"
"version3","Bird_101","m",230,9,"japanese_1_65dB","forward",166859.065388,144503.858457,22355.2069318,1291.48422604,1,202.824584616,165557.134997,1301.89343594,"yes","pilot","yes"
"version3","Bird_101","m",230,10,"starling_1_70dB","birdsong",183193.826196,167523.934339,15669.8918564,12440.3366124,7,9655.95884496,170739.04535,12454.7544973,"yes","pilot","no"
"version3","Bird_101","m",230,11,"japanese_1_65dB","forward",207621.277903,183925.478338,23695.7995656,20129.7301681,13,14589.9270876,187476.527608,20144.6657761,"yes","pilot","no"
"version3","Bird_101","m",230,12,"backjapanese_1_65dB","backward",224425.923176,208373.126719,16052.7964572,11235.9533837,8,8821.99977277,213173.003327,11252.8832348,"yes","pilot","no"
"version3","Bird_102","f",238,1,"backjapanese_1_65dB","backward",50429.1896557,25152.2581347,25276.931521,22917.9663922,3,20648.0872649,27496.3666998,22932.7976343,"yes","pilot","no"
"version3","Bird_102","f",238,2,"starling_1_70dB","birdsong",58705.3782971,51181.032996,7524.34530109,4315.26321408,1,3181.47030604,54375.9777882,4329.37347642,"yes","pilot","no"
"version3","Bird_102","f",238,3,"japanese_1_65dB","forward",75675.3695235,59342.7230657,16332.6464578,10865.9521656,4,8334.87475416,64792.63533,10882.7068189,"yes","pilot","no"
"version3","Bird_102","f",238,4,"backjapanese_1_65dB","backward",83951.0572089,76330.759318,7620.29789094,4530.67295096,1,3392.07613436,79410.6145882,4540.41661476,"yes","pilot","no"
"version3","Bird_102","f",238,5,"japanese_1_65dB","forward",93788.3881533,84785.2968712,9003.09128212,5115.43786436,1,3995.3370709,88649.8546406,5138.50750684,"yes","pilot","no"
"version3","Bird_102","f",238,6,"starling_1_70dB","birdsong",102492.971559,94417.9208818,8075.05067732,4055.86583959,1,2935.8588043,98420.2997387,4072.64684103,"yes","pilot","no"
"version3","Bird_102","f",238,7,"backjapanese_1_65dB","backward",112694.981406,103325.401073,9369.58033295,3433.33520394,1,2296.58138554,109248.046134,3446.90892319,"yes","pilot","no"
"version3","Bird_102","f",238,8,"starling_1_70dB","birdsong",121218.459957,113504.281395,7714.17856211,3156.44850896,1,2019.44900307,118047.345138,3171.09018166,"yes","pilot","no"
"version3","Bird_102","f",238,9,"japanese_1_65dB","forward",131132.864565,121912.434318,9220.43024737,4965.28004951,1,3829.09733467,126150.891113,4981.94949926,"yes","pilot","no"
"version3","Bird_102","f",238,10,"starling_1_70dB","birdsong",139375.411475,131742.177694,7633.23378086,2927.33262799,1,1780.05086211,136433.121339,2942.25899703,"yes","pilot","no"
"version3","Bird_102","f",238,11,"japanese_1_65dB","forward",147334.894259,140001.876874,7333.01738426,4513.63633876,1,3350.87455157,142803.375089,4531.49213732,"yes","pilot","no"
"version3","Bird_102","f",238,12,"backjapanese_1_65dB","backward",169486.373927,148026.200618,21460.1733089,5351.39227461,3,3746.66918971,164120.032015,5366.31898582,"yes","pilot","no"
"version3","Bird_103","f",226,1,"backjapanese_1_65dB","backward",54538.2807078,36796.243993,17742.0367149,14758.2952027,2,12606.5831922,39768.2215923,14770.0177114,"yes","pilot","no"
"version3","Bird_103","f",226,2,"japanese_1_65dB","forward",77744.5284922,55198.05421,22546.4742822,2589.50517586,1,1785.93435834,75138.2190465,2606.26633069,"yes","pilot","no"
"version3","Bird_103","f",226,3,"starling_1_70dB","birdsong",100371.829845,78383.3326718,21988.4971729,18418.7205637,1,18056.9608255,81930.2131253,18441.5722355,"yes","pilot","no"
